id,text,label,source,is_synthetic,review_status,notes
ref-002,환불 신청한 지 일주일인데 입금이 안 됐어요.,cancellation_refund,synthetic,true,approved,refund_status
ref-003,결제한 주문 일부만 취소할 수 있나요?,cancellation_refund,synthetic,true,approved,partial_cancellation
ref-004,쿠폰 사용 주문도 취소가 가능한가요?,cancellation_refund,synthetic,true,approved,cancellation
ref-005,환불받을 금액이 제가 계산한 것보다 적습니다.,cancellation_refund,synthetic,true,approved,refund_amount
ref-006,실수로 주문했으니 바로 취소해 주세요.,cancellation_refund,synthetic,true,approved,cancellation
ref-007,취소 처리 완료인데 카드 한도가 돌아오지 않았어요.,cancellation_refund,synthetic,true,approved,refund_status
ref-008,배송 시작한 주문을 취소할 수 있는지 궁금합니다.,cancellation_refund,synthetic,true,approved,cancellation
ref-009,환불 계좌를 다른 계좌로 받을 수 있나요?,cancellation_refund,synthetic,true,approved,refund_method
ref-010,주문 취소 버튼이 없어졌습니다. 취소 요청합니다.,cancellation_refund,synthetic,true,approved,cancellation
ref-011,반품 물건은 어제 도착 완료라고 문자 받았는데 카드 환불은 언제쯤 보일까요?,cancellation_refund,synthetic,true,approved,refund_status_colloquial
ref-012,카드 결제를 취소했는데 승인 알림이 다시 왔어요.,cancellation_refund,synthetic,true,approved,refund_status
ref-013,이미 발급받은 현금영수증도 취소되나요?,cancellation_refund,synthetic,true,approved,cancellation
ref-014,주문 전체를 취소하면 적립금은 어떻게 되나요?,cancellation_refund,synthetic,true,approved,cancellation
ref-015,환불 상태가 계속 처리 중으로만 표시됩니다.,cancellation_refund,synthetic,true,approved,refund_status
ref-016,예약 주문을 철회하고 싶어요.,cancellation_refund,synthetic,true,approved,cancellation
ref-017,결제 취소 수수료가 있는지 알려 주세요.,cancellation_refund,synthetic,true,approved,cancellation
ref-018,환불이 카드가 아니라 포인트로 들어왔습니다.,cancellation_refund,synthetic,true,approved,refund_method
ref-019,어제 취소 요청한 주문이 아직 살아 있어요.,cancellation_refund,synthetic,true,approved,cancellation
ref-020,부분 환불 내역을 확인할 수 있나요?,cancellation_refund,synthetic,true,approved,refund_status
del-001,주문한 상품이 언제 출고되는지 알려 주세요.,delivery,synthetic,true,approved,shipment
del-002,송장 번호를 입력해도 배송 조회가 되지 않습니다.,delivery,synthetic,true,approved,tracking
del-003,어제 도착 예정이라고 안내받았는데 아직 못 받았습니다. 오늘 수령 가능한지 확인해 주세요.,delivery,synthetic,true,approved,delay_long
del-004,출고 전에 배송지를 바꾸고 싶어요.,delivery,synthetic,true,approved,address_change
del-005,배송 완료라고 하는데 현관에 물건이 없습니다.,delivery,synthetic,true,approved,missing_delivery
del-006,택배가 다른 동네로 잘못 간 것 같아요.,delivery,synthetic,true,approved,misdelivery
del-007,제주도 주소도 추가 배송비 없이 가능한가요?,delivery,synthetic,true,approved,service_area
del-008,한 주문의 상품들이 따로 배송되는 이유가 뭔가요?,delivery,synthetic,true,approved,split_shipment
del-009,부재중이면 경비실에 맡겨 달라고 할 수 있나요?,delivery,synthetic,true,approved,delivery_instruction
del-010,오늘 꼭 받아야 하는데 배송 위치를 알 수 있나요?,delivery,synthetic,true,approved,tracking
del-011,판매자가 아직 물건을 보내지 않았습니다.,delivery,synthetic,true,approved,shipment
del-012,배송 기사님 연락처를 확인하고 싶습니다.,delivery,synthetic,true,approved,tracking
del-013,주문한 곳이 아닌 이전 주소로 배송됐어요.,delivery,synthetic,true,approved,misdelivery
del-014,토요일에도 상품을 받을 수 있나요?,delivery,synthetic,true,approved,service_area
del-015,택배 상자가 중간에 멈춘 것처럼 며칠째 움직이지 않아요. 분실된 건 아닌지 걱정됩니다.,delivery,synthetic,true,approved,delay_long
del-016,출고 알림은 받았는데 운송장 정보가 비어 있습니다.,delivery,synthetic,true,approved,tracking
del-017,해외 배송 주문의 통관 상태를 알고 싶습니다.,delivery,synthetic,true,approved,tracking
del-018,배송 요청 사항을 수정하려면 어떻게 하나요?,delivery,synthetic,true,approved,delivery_instruction
del-019,상품 수령 날짜를 다음 주로 미룰 수 있나요?,delivery,synthetic,true,approved,delivery_instruction
del-020,배송비가 왜 두 번 청구되었는지 확인해 주세요.,delivery,synthetic,true,approved,delivery_fee
ret-001,받은 옷의 사이즈가 작아서 반품하고 싶어요.,exchange_return,synthetic,true,approved,return_request
ret-002,색상이 사진과 달라서 교환 신청합니다.,exchange_return,synthetic,true,approved,exchange_request
ret-003,상품이 깨진 상태로 도착했어요. 사진은 찍어 뒀는데 교환으로 진행하고 싶습니다.,exchange_return,synthetic,true,approved,damaged_item_long
ret-004,반품 수거 기사님은 언제 오시나요?,exchange_return,synthetic,true,approved,pickup
ret-005,교환 상품 배송은 얼마나 걸리나요?,exchange_return,synthetic,true,approved,exchange_status
ret-006,반품할 때 배송비를 제가 내야 하나요?,exchange_return,synthetic,true,approved,return_fee
ret-007,포장 비닐을 버렸는데도 반품할 수 있나요?,exchange_return,synthetic,true,approved,return_policy
ret-008,다른 모델이 와서 원래 상품으로 교환하고 싶습니다.,exchange_return,synthetic,true,approved,wrong_item
ret-009,받은 지 열흘 정도 지났는데 아직 사용은 안 했어요. 사이즈 교환이 될까요?,exchange_return,synthetic,true,approved,return_policy_long
ret-010,반품 접수 후 상태가 변경되지 않습니다.,exchange_return,synthetic,true,approved,return_status
ret-011,신발 한 짝에 흠집이 있어서 반품하려고요.,exchange_return,synthetic,true,approved,damaged_item
ret-012,교환 대신 반품으로 바꿀 수 있나요?,exchange_return,synthetic,true,approved,return_request
ret-013,선물 받은 상품도 교환 접수가 가능한가요?,exchange_return,synthetic,true,approved,exchange_request
ret-014,회수할 물건을 문 앞에 두면 되나요?,exchange_return,synthetic,true,approved,pickup
ret-015,반품 택배가 가져간 상품이 도착했는지 궁금합니다.,exchange_return,synthetic,true,approved,return_status
ret-016,불량 상품의 사진을 꼭 보내야 하나요?,exchange_return,synthetic,true,approved,damaged_item
ret-017,교환 신청을 취소하고 싶습니다.,exchange_return,synthetic,true,approved,exchange_request
ret-018,세일 상품은 반품이 안 되는지 알고 싶어요.,exchange_return,synthetic,true,approved,return_policy
ret-019,주문한 수량보다 하나가 적게 왔습니다.,exchange_return,synthetic,true,approved,wrong_item
ret-020,반품 주소가 어디인지 안내해 주세요.,exchange_return,synthetic,true,approved,return_request
acc-001,비밀번호를 잊어서 로그인을 못 해요. 재설정하려고 해도 어떤 이메일로 가입했는지 기억이 안 납니다.,account,synthetic,true,approved,password_reset_long
acc-002,아이디를 입력해도 계정을 찾을 수 없어요.,account,synthetic,true,approved,account_recovery
acc-003,휴대폰 번호를 새 번호로 변경하고 싶습니다.,account,synthetic,true,approved,profile_update
acc-004,회원 탈퇴 절차를 알려 주세요.,account,synthetic,true,approved,withdrawal
acc-005,본인 인증 코드가 문자로 오지 않아요.,account,synthetic,true,approved,verification
acc-006,비밀번호를 여러 번 틀려서 계정이 잠겼습니다.,account,synthetic,true,approved,account_locked
acc-007,가입 이메일 주소를 수정할 수 있나요?,account,synthetic,true,approved,profile_update
acc-008,가입하지 않았는데 제 번호로 계정이 있다고 나옵니다.,account,synthetic,true,approved,account_recovery
acc-009,카카오 로그인 연결을 해제하고 싶어요.,account,synthetic,true,approved,social_login
acc-010,낯선 기기에서 로그인한 기록이 보여요.,account,synthetic,true,approved,account_security
acc-011,회원 가입 버튼을 눌러도 인증 단계로 못 넘어갑니다.,account,synthetic,true,approved,signup
acc-012,아이디를 변경할 수 있는 방법이 있나요?,account,synthetic,true,approved,profile_update
acc-013,로그인 화면에서 인증 앱 코드를 요구합니다.,account,synthetic,true,approved,verification
acc-014,탈퇴했던 계정을 다시 살릴 수 있나요?,account,synthetic,true,approved,withdrawal
acc-015,소셜 계정으로 가입했는데 비밀번호를 만들고 싶습니다.,account,synthetic,true,approved,social_login
acc-016,회원 정보의 이름이 잘못 표시됩니다.,account,synthetic,true,approved,profile_update
acc-017,비밀번호 재설정 메일을 받지 못했습니다.,account,synthetic,true,approved,password_reset
acc-018,로그인하고 몇 분만 지나면 자꾸 자동 로그아웃돼요. 제 계정만 이런 건가요?,account,synthetic,true,approved,account_security_colloquial
acc-019,본인 명의가 아니라서 가입이 안 됩니다.,account,synthetic,true,approved,signup
acc-020,계정에 등록된 배송지 목록을 지우고 싶어요.,account,synthetic,true,approved,profile_update
tec-001,앱을 실행하면 로고만 잠깐 보이고 바로 꺼집니다. 삭제 후 다시 설치해도 똑같아요.,technical_issue,synthetic,true,approved,app_crash_long
tec-002,장바구니에 넣기 버튼이 전혀 눌리지 않아요.,technical_issue,synthetic,true,approved,feature_error
tec-003,주문서 페이지가 계속 빙글빙글 로딩만 합니다.,technical_issue,synthetic,true,approved,loading
tec-004,쿠폰 적용 버튼을 눌러도 아무 변화가 없어요.,technical_issue,synthetic,true,approved,feature_error
tec-005,검색 결과 화면이 빈 페이지로 나옵니다.,technical_issue,synthetic,true,approved,display_error
tec-006,오류 코드 E500이 반복해서 표시됩니다.,technical_issue,synthetic,true,approved,error_code
tec-007,업데이트 뒤에 주문 내역 탭이 열리지 않습니다.,technical_issue,synthetic,true,approved,feature_error
tec-008,웹사이트 상품 이미지가 하나도 보이지 않아요.,technical_issue,synthetic,true,approved,display_error
tec-009,알림 설정을 저장하려고 하면 실패합니다.,technical_issue,synthetic,true,approved,feature_error
tec-010,특정 메뉴를 누르면 화면이 하얗게 변합니다.,technical_issue,synthetic,true,approved,display_error
tec-011,앱에서 로그아웃 버튼을 누르면 멈춰 버려요.,technical_issue,synthetic,true,approved,app_freeze
tec-012,상품 후기 작성 화면이 계속 새로고침됩니다.,technical_issue,synthetic,true,approved,loading
tec-013,웹에서 주소 검색 기능이 작동하지 않습니다.,technical_issue,synthetic,true,approved,feature_error
tec-014,앱 알림을 켰는데 설정 화면에는 꺼짐으로 보여요.,technical_issue,synthetic,true,approved,display_error
tec-015,모바일 페이지에서 글자가 겹쳐서 읽을 수가 없어요. 가로로 돌려 봐도 화면이 이상해요.,technical_issue,synthetic,true,approved,display_error_colloquial
tec-016,장바구니 상품 수가 실제와 다르게 표시돼요.,technical_issue,synthetic,true,approved,display_error
tec-017,네트워크가 정상인데 앱에서 연결 오류가 납니다.,technical_issue,synthetic,true,approved,error_code
tec-018,고객센터 채팅 창이 열리지 않아요.,technical_issue,synthetic,true,approved,feature_error
tec-019,앱을 최신 버전으로 바꾼 후 계속 멈춥니다.,technical_issue,synthetic,true,approved,app_freeze
tec-020,브라우저에서 주문 내역 화면만 404 오류가 납니다.,technical_issue,synthetic,true,approved,error_code
prd-001,이 제품의 정확한 색상 이름이 무엇인가요?,product_general,synthetic,true,approved,product_info
prd-002,다음 주에 이 상품이 재입고될 예정인가요?,product_general,synthetic,true,approved,stock
prd-003,이 충전기가 제 휴대폰 모델과 호환되는지 모르겠어요. 고속 충전도 지원하나요?,product_general,synthetic,true,approved,compatibility_long
prd-004,선물 포장 서비스를 이용할 수 있나요?,product_general,synthetic,true,approved,sales_policy
prd-005,상품 상자에 포함된 구성품을 알려 주세요.,product_general,synthetic,true,approved,product_info
prd-006,할인 행사는 언제까지 진행하나요?,product_general,synthetic,true,approved,promotion
prd-007,두 개 구매하면 묶음 할인이 적용되나요?,product_general,synthetic,true,approved,promotion
prd-008,검정색 옵션의 재고가 남아 있나요?,product_general,synthetic,true,approved,stock
prd-009,제품 보증 기간이 몇 년인지 궁금합니다.,product_general,synthetic,true,approved,sales_policy
prd-010,정기구독 상품은 어떻게 이용하나요?,product_general,synthetic,true,approved,sales_policy
prd-011,이 옷의 소재와 세탁 방법을 알고 싶어요.,product_general,synthetic,true,approved,product_info
prd-012,대용량 옵션은 언제 다시 살 수 있나요?,product_general,synthetic,true,approved,stock
prd-013,어제 봤을 때보다 오늘 가격이 올라갔는데 기간별로 가격이 바뀌는 상품인가요?,product_general,synthetic,true,approved,pricing_long
prd-014,신제품 출시 일정을 확인할 수 있을까요?,product_general,synthetic,true,approved,product_info
prd-015,쿠폰을 사용할 수 있는 상품인지 궁금합니다.,product_general,synthetic,true,approved,promotion
prd-016,이 가방의 가로세로 크기를 알려 주세요.,product_general,synthetic,true,approved,product_info
prd-017,품절 상품의 재입고 알림을 받을 수 있나요?,product_general,synthetic,true,approved,stock
prd-018,세트 상품을 낱개로 구매할 수 있나요?,product_general,synthetic,true,approved,sales_policy
prd-019,회원 등급별 할인 혜택이 어떻게 되나요?,product_general,synthetic,true,approved,promotion
prd-020,이 상품은 해외에서도 사용할 수 있나요?,product_general,synthetic,true,approved,compatibility
